order_id,27704fd3-bb6b-4a3c-99c4-0288eff2d516
type,open
price,6222.03000000
side,buy
time,2018-10-14T12:44:46.403000Z
remaining_size,0.02500000
order_id,27704fd3-bb6b-4a3c-99c4-0288eff2d516
type,done
price,6222.03000000
side,buy
time,2018-10-14T12:44:46.490000Z
remaining_size,0.02500000
order_id,c8648a12-6008-49cc-9d17-2c87e21c017f
type,received
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.496000Z
size,0.02500000
order_id,c8648a12-6008-49cc-9d17-2c87e21c017f
type,open
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.496000Z
remaining_size,0.02500000
order_id,c8648a12-6008-49cc-9d17-2c87e21c017f
type,done
price,6222.04000000
side,buy
time,2018-10-14T12:44:46.578000Z
remaining_size,0.02500000
order_id,b1f331c8-b204-47d1-a16c-207dbe5fc368
type,received
price,6221.96000000
side,buy
time,2018-10-14T12:44:46.586000Z
size,0.02500000
order_id,b1f331c8-b204-47d1-a16c-207dbe5fc368
type,open
price,6221.96000000
side,buy
time,2018-10-14T12:44:46.586000Z
remaining_size,0.02500000
order_id,b1f331c8-b204-47d1-a16c-207dbe5fc368
type,done
price,6221.96000000
side,buy
time,2018-10-14T12:44:46.674000Z
remaining_size,0.02500000
order_id,44fa3297-2e72-44d8-85cf-c476f6bbf2d3
type,done
price,6244.43000000
side,sell
time,2018-10-14T12:55:56.483000Z
remaining_size,0.02500000
order_id,971da9c6-013a-49a8-96d0-9e8016f383c6
type,done
price,6234.46000000
side,sell
time,2018-10-14T12:55:56.530000Z
remaining_size,0.02236629
order_id,d69315fa-e07b-42e7-b6dd-829bf03c7254
type,done
price,6236.05000000
side,sell
time,2018-10-14T12:55:56.532000Z
remaining_size,0.02236629
order_id,e37952bf-85af-4e55-aba2-e68742d6886e
type,received
price,6242.77000000
side,sell
time,2018-10-14T12:55:56.532000Z
size,0.78228100
order_id,e37952bf-85af-4e55-aba2-e68742d6886e
type,open
price,6242.77000000
side,sell
time,2018-10-14T12:55:56.532000Z
remaining_size,0.78228100
order_id,f367f1f6-db0f-4a67-bcee-d1d7474666a5
type,received
price,6243.88000000
side,sell
time,2018-10-14T12:55:56.534000Z
size,0.02500000
order_id,f367f1f6-db0f-4a67-bcee-d1d7474666a5
type,open
price,6243.88000000
side,sell
time,2018-10-14T12:55:56.534000Z
remaining_size,0.02500000
order_id,e1c960d0-9ed6-4ed7-b1dd-7c484c7f91dc
type,received
price,6235.90000000
side,sell
time,2018-10-14T12:55:56.539000Z
size,0.02236629
order_id,e1c960d0-9ed6-4ed7-b1dd-7c484c7f91dc
type,open
price,6235.90000000
side,sell
time,2018-10-14T12:55:56.539000Z
remaining_size,0.02236629
order_id,778afc89-b2f1-430b-bcd4-08e867a95eb2
type,received
price,6224.06000000
side,buy
time,2018-10-14T12:55:56.540000Z
size,0.90000000
order_id,778afc89-b2f1-430b-bcd4-08e867a95eb2
type,open
price,6224.06000000
side,buy
time,2018-10-14T12:55:56.540000Z
remaining_size,0.90000000
order_id,0648a6d3-e33a-4ec5-aa02-ee7bf33f8948
type,received
price,6234.31000000
side,sell
time,2018-10-14T12:55:56.546000Z
size,0.02236629
order_id,0648a6d3-e33a-4ec5-aa02-ee7bf33f8948
type,open
price,6234.31000000
side,sell
time,2018-10-14T12:55:56.546000Z
remaining_size,0.02236629
order_id,2a56f852-04ac-4ee5-93d7-ded8a0118a78
type,received
price,6236.00000000
side,sell
time,2018-10-14T12:55:56.563000Z
size,0.06414368
order_id,2a56f852-04ac-4ee5-93d7-ded8a0118a78
type,open
price,6236.00000000
side,sell
time,2018-10-14T12:55:56.563000Z
remaining_size,0.06414368
order_id,c247e5fb-a2d9-403f-a100-0d376aa3f5b5
type,received
price,6211.78000000
side,buy
time,2018-10-14T12:55:56.586000Z
size,0.00100716
order_id,c247e5fb-a2d9-403f-a100-0d376aa3f5b5
type,open
price,6211.78000000
side,buy
time,2018-10-14T12:55:56.586000Z
remaining_size,0.00100716
order_id,f367f1f6-db0f-4a67-bcee-d1d7474666a5
type,done
price,6243.88000000
side,sell
time,2018-10-14T12:55:56.620000Z
remaining_size,0.02500000
order_id,7ab49740-04b2-4fd9-bf7f-6e40df8278c6
type,received
price,6243.89000000
side,sell
time,2018-10-14T12:55:56.629000Z
size,0.02500000
order_id,7ab49740-04b2-4fd9-bf7f-6e40df8278c6
type,open
price,6243.89000000
side,sell
time,2018-10-14T12:55:56.629000Z
remaining_size,0.02500000
order_id,232785ed-f8ea-4f05-aefb-7cc1b20fa3f1
